nomogram_id,voltage_kv,element_type,total_congestion_cost_index,hours_binding,days_binding,avg_shadow_price,max_shadow_price,primary_cause,cause_is_base_case,months_active,solar_hour_fraction,readable_name,utility,tpp_area,reconductoring_applicable,reconductoring_reason,match_quality,renewable_driven,renewable_type
22556_NAVSTMTR_69.0_22824_SWTWTRTP_69.0_BR_1 _1,69.0,branch,2473.84632,49,11,50.49,126.85,SD2 MIGUEL-MSION 1+2 230,False,3,0.755,Navstmtr-Swtwtrtp 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
18999_VEAJAF  _138_18079_MERCURY _138_BR_1 _1,138.0,branch,2454.7407999999987,162,46,15.15,74.71,VE1 VEAVST-PAHRUM 138,False,10,0.957,Veajaf-Mercury 138 kV,VEA,,True,"138 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33316_CLYLDG  _115_38028_PLO ALTO_115_BR_1 _1,115.0,branch,2432.61159,37,15,65.75,271.14,Base Case,True,4,0.865,Clyldg-Plo Alto 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33953_VLYHMTP2_115_33511_AVENATP2_115_BR_1 _1,115.0,branch,2331.63781,204,29,11.43,54.37,PG1 STANIS-MELONS-MANTEC 115 1,False,4,0.083,Vlyhmtp2-Avenatp2 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33008_GRIZLYJ2_115_33010_SOBRANTE_115_BR_2 _1,115.0,branch,2321.8892499999997,30,5,77.4,237.82,PG1 EASTSH-SANMAT 230,False,2,0.833,Grizlyj2-Sobrante 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33914_MI-WUK  _115_33917_FBERBORD_115_BR_1 _1,115.0,branch,2304.983459999999,179,45,12.88,44.0,Base Case,True,5,0.039,Mi-Wuk-Fberbord 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
22886_SUNCREST_230_22885_SUNCREST_500_XF_2 _P,500.0,transformer,2073.4841700000006,66,9,31.42,104.52,SD1 SNCRST 500-230 BK80,False,5,0.712,Suncrest 500 kV Transformer,SDG&E,,False,"Transformer, not a transmission line",parsed,True,solar
24801_DEVERS  _500_99014_CALCAPS2_500_BR_2 _1,500.0,branch,2066.6466800000003,64,10,32.29,94.4,SD1 NGILA-IVALLY 500,False,3,0.797,Devers-Calcaps2 500 kV,SDG&E,,False,"500 kV line - likely stability-limited, reconductoring won't increase capacity",parsed,True,solar
99002_MOE-ELD _500_24042_ELDORDO _500_BR_1 _2,500.0,branch,2056.49092,86,15,23.91,99.4,SD1 NGILA-IVALLY 500,False,3,0.535,Moe-Eld-Eldordo 500 kV,SDG&E,,False,"500 kV line - likely stability-limited, reconductoring won't increase capacity",parsed,likely,mixed
34610_HAAS    _13.8_30855_HAAS    _230_XF_1,230.0,transformer,1995.008139999999,413,117,4.83,67.72,Base Case,True,8,0.0,Haas 13.8 230 kV Transformer,PG&E,,False,"Transformer, not a transmission line",parsed,False,load/other
32568_IGNACIO _115_32570_LS GLLNS_115_BR_1 _1,115.0,branch,1912.0490300000001,17,4,112.47,250.05,PG1 IGNACO-SANRAF 115,False,1,0.235,Ignacio-Ls Gllns 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
31640_TRES VIS_60.0_31718_TBLE MTN_60.0_BR_1 _1,,branch,1890.6414100000002,29,5,65.19,207.22,PG1 PALRMO-TBLMTN 230,False,1,0.345,Tres Vis-Tble Mtn 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
24303_BIG CRK3_230_24235_RECTOR  _230_BR_1 _1,230.0,branch,1787.1619600000001,52,5,34.37,71.96,Base Case,True,1,0.0,Big Crk3-Rector 230 kV,Unknown,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
35202_USWP-WKR_60.0_33777_SBTAP   _60.0_BR_1 _1,,branch,1701.55812,60,20,28.36,50.96,Base Case,True,7,0.017,Uswp-Wkr-Sbtap 60 kV,Unknown,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
32056_CORTINA _60.0_30451_CRTNA  M_ 1.0_XF_1,,transformer,1693.1371799999993,71,23,23.85,94.83,PG1 CORTIN 230-115 BK4,False,7,0.169,Cortina 60 kV Transformer,PG&E,,False,"Transformer, not a transmission line",parsed,False,load/other
33930_PEORIA  _115_33932_MELONES _115_BR_1 _1,115.0,branch,1682.0568099999994,164,44,10.26,43.15,Base Case,True,5,0.372,Peoria-Melones 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
36850_KIFER   _115_35615_FMC     _115_BR_1 _1,115.0,branch,1616.05763,30,7,53.87,143.01,SV1 NRTHRN 230-115 BK 2,False,4,0.933,Kifer-Fmc 115 kV,SVP,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
32782_STATIN D_115_32788_STATIN L_115_BR_1 _1,115.0,branch,1575.84547,55,10,28.65,77.2,PG1 MORAGA BUS 1D+2D 115,False,5,0.527,Statin D-Statin L 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
38610_DELTAPMP_230_30580_ALTM MDW_230_BR_1 _1,230.0,branch,1511.2490500000001,52,12,29.06,105.24,PG1 BRNTWD-KELSO 230,False,5,0.827,Deltapmp-Altm Mdw 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
22136_CLAIRMNT_69.0_22140_CLARMTTP_69.0_BR_1 _1,69.0,branch,1424.6752100000006,36,8,39.57,238.23,Base Case,True,4,0.944,Clairmnt-Clarmttp 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
24602_VICTOR  _115_24702_KRAMER  _115_BR_1 _1,115.0,branch,1398.27137,18,2,77.68,133.97,SC1 CWATER-KRAMER_2 230,False,1,0.889,Victor-Kramer 115 kV,SCE,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30460_VACA-DIX_230_30465_BAHIA   _230_BR_1 _1,230.0,branch,1397.24125,6,2,232.87,351.88,PG2 COCOSB-BRDSLD-COCOPP 230,False,1,0.0,Vaca-Dix-Bahia 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
31658_BANGOR  _60.0_32308_COLGATE _60.0_BR_1 _1,,branch,1358.34869,26,7,52.24,155.03,PG1 PALRMO-COLGAT_M 230,False,1,0.769,Bangor-Colgate 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30975_MDWAYR11_230_30060_MIDWAY  _500_XF_11_P,500.0,transformer,1329.0775699999997,75,12,17.72,43.91,PG1 MIDWAY 500-230 BK12,False,3,0.827,Mdwayr11 500 kV Transformer,PG&E,,False,"Transformer, not a transmission line",parsed,True,solar
99100_PIT-ESH1_230_30560_E. SHORE_230_BR_1 _2,230.0,branch,1312.9851599999997,48,10,27.35,191.25,PG1 EASTSH-SANMAT 230,False,4,0.333,Pit-Esh1-E. Shore 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
24731_INYOKERN_115_24787_RNDSBTAP_115_BR_1 _1,115.0,branch,1291.13027,112,33,11.53,44.68,Base Case,True,7,0.741,Inyokern-Rndsbtap 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
32973_LAKEWOOD_115_99108_LAK-MOR1_115_BR_1 _1,115.0,branch,1275.0059800000001,25,8,51.0,369.16,PG1 PITTSP BUS D 230_M,False,3,0.44,Lakewood-Lak-Mor1 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
33020_MORAGA  _115_35101_SN LNDRO_115_BR_1 _1,115.0,branch,1220.09276,21,6,58.1,196.17,PG1 MORAGA-SANLEA 115 3,False,3,0.381,Moraga-San Leandro 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,500.0,transformer,1180.7878,44,6,26.84,71.19,SC1 DEVERS 500-230 BK2AA,False,5,0.682,Devers 500 kV Transformer,SCE,,False,"Transformer, not a transmission line",parsed,True,solar
30735_METCALF _230_30042_METCALF _500_XF_12,500.0,transformer,1167.38314,30,7,38.91,134.44,PG1 METCLF 500-230 BK11,False,2,0.367,Metcalf 500 kV Transformer,PG&E,,False,"Transformer, not a transmission line",parsed,False,load/other
35122_NWARK EF_115_36851_NORTHERN_115_BR_2 _1,115.0,branch,1152.11029,13,2,88.62,186.74,PG1 NEWARK-NWRKDST 230,False,1,0.615,Nwark Ef-Northern 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
34366_SANGER  _115_34370_MC CALL _115_BR_3 _1,115.0,branch,1130.93266,14,5,80.78,254.57,PG1 MCCALL-SANGER_2 115,False,2,0.214,Sanger-Mc Call 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
22644_PENSQTOS_69.0_22856_TOREYPNS_69.0_BR_1 _1,69.0,branch,1115.9237900000003,10,2,111.59,205.59,Base Case,True,2,0.9,Penasquitos-Toreypns 69 kV,Unknown,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
34474_HELM    _70.0_34556_STRD JCT_70.0_BR_1 _1,70.0,branch,1106.15326,111,32,9.97,34.53,Base Case,True,5,0.955,Helm-Strd Jct 70 kV,Unknown,,True,"70 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30300_TABLMTN _230_38635_THMJCT1 _230_BR_1 _1,230.0,branch,1104.63652,7,1,157.81,1104.64,PG1 TBLMTN-HYATT 230,False,1,0.0,Tablmtn-Thmjct1 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
31576_WNTU PMS_60.0_31570_BENTON  _60.0_BR_1 _1,,branch,1098.6708,61,9,18.01,35.45,PG1 CTTNWD 230-115 BK1,False,2,0.393,Wntu Pms-Benton 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33932_MELONES _115_33922_R.TRACK _115_BR_1 _1,115.0,branch,1093.36712,47,3,23.26,36.01,Base Case,True,1,0.511,Melones-R.Track 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
30275_CRESTA  _230_30330_RIO OSO _230_BR_1 _1,230.0,branch,1087.4052700000002,71,5,15.32,40.69,Base Case,True,1,0.183,Cresta-Rio Oso 230 kV,Unknown,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34774_MIDWAY  _115_34225_BELRDG J_115_BR_1 _1,115.0,branch,1060.8968899999998,58,16,18.29,76.5,PG1 SANLOB-TEMBLR 115_M,False,3,0.845,Midway-Belrdg J 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33360_HILLSDLE_60.0_33358_BERESFRD_60.0_BR_1 _1,,branch,1034.16225,5,2,206.83,382.3,PG1 MARTIN-JEFRSN 230,False,1,1.0,Hillsdle-Beresfrd 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,500.0,branch,947.4304800000001,87,21,10.89,40.83,Base Case,True,4,0.816,Midway-Wirlwind 500 kV,SCE,,False,"500 kV line - likely stability-limited, reconductoring won't increase capacity",parsed,True,solar
30225_PIT4 JT _230_30245_ROUND MT_230_BR_2 _1,230.0,branch,926.6044999999999,63,16,14.71,39.14,Base Case,True,6,0.0,Pit4 Jt-Round Mt 230 kV,Unknown,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34724_KRN OL J_115_34736_MAGUNDEN_115_BR_1 _1,115.0,branch,869.02486,46,17,18.89,150.47,PG1 WESTPK LD2 115_M,False,3,0.0,Krn Ol J-Magunden 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33014_ALHAMTP1_115_33010_SOBRANTE_115_BR_1 _1,115.0,branch,839.0564700000001,7,2,119.87,200.49,PG1 PITTSP BUS D 230_M,False,1,0.714,Alhamtp1-Sobrante 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1,500.0,branch,833.66743,44,8,18.95,52.63,Base Case,True,2,0.818,Gates2-Midway 500 kV,PG&E,,False,"500 kV line - likely stability-limited, reconductoring won't increase capacity",parsed,True,solar
32314_SMRTSVLE_60.0_32349_BEALE2J1_60.0_BR_1 _1,,branch,830.8741899999998,33,12,25.18,70.84,PG1 PALRMO-COLGAT_M 230,False,2,0.0,Smrtsvle-Beale2J1 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34706_WESTPARK_115_34752_KERN PWR_115_BR_1 _1,115.0,branch,821.7185999999999,46,29,17.86,84.01,PG1 KERNPP-WESTPK_2 115,False,5,0.0,Westpark-Kern Pwr 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34720_DSCVRYTP_115_34744_OILDALE _115_BR_1 _1,115.0,branch,792.1870000000001,12,3,66.02,496.84,PG1 KERNPP-WESTPK_2 115,False,1,0.0,Dscvrytp-Oildale 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33926_CH.STNJT_115_33930_PEORIA  _115_BR_1 _1,115.0,branch,771.6125800000002,77,32,10.02,43.22,Base Case,True,5,0.026,Ch.Stnjt-Peoria 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34880_SN BRNRD_70.0_39021_SC21ATP _70.0_BR_1 _1,70.0,branch,769.3392500000001,71,26,10.84,69.36,PG1 WHELRG-WEEDPC 70,False,6,0.859,Sn Brnrd-SC21A Tap 70 kV,PG&E,,True,"70 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
32374_DRUM    _60.0_32376_BONNIE N_60.0_BR_1 _1,,branch,722.7968599999999,70,31,10.33,63.0,Base Case,True,8,0.529,Drum-Bonnie N 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,500.0,branch,717.3759599999998,23,3,31.19,49.98,PG2 TRACY SOUTH DLO 500,False,2,1.0,Tesla-Los Banos 500 kV (Path 15),PG&E,Path 15 Corridor,False,"500 kV, stability-limited",known_mapping,True,solar
35658_LS ESTRS_115_35659_NORTECH _115_BR_1 _1,115.0,branch,669.18694,12,3,55.77,101.55,SV1 SVPSSS-NRTHRN 230,False,1,0.083,Ls Estrs-Nortech 115 kV,SVP,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33020_MORAGA  _115_32790_STATIN X_115_BR_3 _1,115.0,branch,659.3865999999999,50,19,13.19,49.63,PG1 OAK D-OAK L 115,False,5,0.38,Moraga-Statin X 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
32220_DTCH FL1_115_32224_CHCGO PK_115_BR_1 _1,115.0,branch,640.81652,9,3,71.2,200.92,SC1 MIDWAY-WHIRWD_1 500,False,2,0.556,Dtch Fl1-Chcgo Pk 115 kV,SCE,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
99013_CAL CAPS_500_24801_DEVERS  _500_BR_1 _1,500.0,branch,627.7852800000001,12,1,52.32,91.23,Base Case,True,1,0.667,Cal Caps-Devers 500 kV,SCE,,False,"500 kV line - likely stability-limited, reconductoring won't increase capacity",parsed,True,solar
33020_MORAGA  _115_32792_STATIN J_115_BR_1 _1,115.0,branch,618.5810200000001,26,3,23.79,131.68,Base Case,True,2,0.385,Moraga-Statin J 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
30515_WARNERVL_230_30800_WILSON  _230_BR_1 _1,230.0,branch,599.94433,13,5,46.15,105.29,Base Case,True,2,0.769,Warnervl-Wilson 230 kV,Unknown,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33020_MORAGA  _115_32780_CLARMNT _115_BR_2 _1,115.0,branch,598.43659,15,3,39.9,75.79,PG1 SOBRNT-MORAGA 115,False,1,0.2,Moraga-Clarmnt 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33020_MORAGA  _115_32790_STATIN X_115_BR_4 _1,115.0,branch,593.14271,48,18,12.36,49.63,PG1 OAK D-OAK L 115,False,4,0.375,Moraga-Statin X 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
22828_SYCAMORE_69.0_22756_SCRIPPS _69.0_BR_1 _1,69.0,branch,589.08762,15,6,39.27,120.34,SD1 SXCYN-PQUTOS 230,False,1,0.6,Sycamore-Scripps 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
34252_MADERA  _70.0_34256_BORDEN  _70.0_BR_2 _1,70.0,branch,569.1987700000001,15,6,37.95,112.11,Base Case,True,2,0.0,Madera-Borden 70 kV,Unknown,,True,"70 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34118_LE GRNDJ_115_34168_EL NIDO _115_BR_1 _1,115.0,branch,565.71379,19,11,29.77,78.67,Base Case,True,2,0.0,Le Grndj-El Nido 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
24021_CENTER S_230_24091_MESA CAL_230_BR_1 _1,230.0,branch,553.42497,8,1,69.18,115.36,SC1 MESAS 500-230 BK2AA,False,1,0.875,Center S-Mesa Cal 230 kV,SCE,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30797_LASAGUIL_230_30790_PANOCHE _230_BR_1 _1,230.0,branch,553.00668,8,1,69.13,144.76,PG1 MOSSLD-LOSBNS 500,False,1,1.0,Las Aguilas-Panoche 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
34134_WILSONAB_115_30800_WILSON  _230_XF_1,230.0,transformer,537.0176600000001,23,16,23.35,158.92,PG1 WILSON 230-115 BK2,False,2,0.0,Wilsonab 230 kV Transformer,PG&E,,False,"Transformer, not a transmission line",parsed,False,load/other
30797_LASAGUIL_230_30790_PANOCHE _230_BR_2 _1,230.0,branch,526.16555,9,1,58.46,112.06,PG1 MOSSLD-LOSBNS 500,False,1,0.889,Las Aguilas-Panoche 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
29400_ANTELOPE_500_29402_WIRLWIND_500_BR_1 _1,500.0,branch,522.8429699999999,22,3,23.77,52.87,SC1 WINHUB-ANTLPE_1 500,False,2,0.727,Antelope-Wirlwind 500 kV,SCE,,False,"500 kV line - likely stability-limited, reconductoring won't increase capacity",parsed,True,solar
30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,230.0,branch,508.34027000000003,8,3,63.54,123.17,PG1 GATES-MSTANS 230 1,False,1,0.0,Mustangs-Gates 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34115_ADRA TAP_115_34154_DAIRYLND_115_BR_1 _1,115.0,branch,494.75841,20,13,24.74,140.34,PG1 MNDOTA-PNOCHE 115,False,4,0.3,Adra Tap-Dairylnd 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
31214_GEYERS56_115_31220_EGLE RCK_115_BR_1 _1,115.0,branch,487.5229599999998,91,25,5.36,24.12,Base Case,True,7,0.857,Geyers56-Egle Rck 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
34375_ULTPWRJ _115_34377_AIRPROD _115_BR_1 _1,115.0,branch,481.41166999999996,63,42,7.64,63.08,PG1 SANGER-MALAGA 115,False,7,0.429,Ultpwrj-Airprod 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
35631_MARKHM J_115_35636_EVRGREEN_115_BR_1 _1,115.0,branch,468.24475000000007,10,1,46.82,90.36,Base Case,True,1,0.8,Markhm J-Evrgreen 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
37585_TRCY PMP_230_30625_TESLA D _230_BR_2 _1,230.0,branch,454.7342900000001,12,3,37.89,77.76,PG1 TESLA-LOSBNS 500,False,2,1.0,Trcy Pmp-Tesla D 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30575_WND MSTR_230_38610_DELTAPMP_230_BR_1 _1,230.0,branch,452.32471999999996,18,10,25.13,246.42,PG1 BRNTWD-KELSO 230,False,2,0.389,Wnd Mstr-Deltapmp 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
22884_WARNERS _69.0_22736_SANTYSBL_69.0_BR_1 _1,69.0,branch,452.27366,45,14,10.05,46.25,SD1 ASH-FELCTA-VLCNTR 69,False,6,0.889,Warners-Santysbl 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33511_AVENATP2_115_33514_MANTECA _115_BR_1 _1,115.0,branch,447.6977300000001,61,23,7.34,41.27,PG1 STANIS-MELONS-MANTEC 115 1,False,4,0.475,Avenatp2-Manteca 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
35621_IBM-HR J_115_35642_METCALF _115_BR_1 _1,115.0,branch,445.35902,6,4,74.23,250.19,PG1 METCLF-ELPATO 115 2_M,False,2,0.0,Ibm-Hr J-Metcalf 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
32780_CLARMNT _115_32782_STATIN D_115_BR_1 _1,115.0,branch,441.05136,16,3,27.57,78.19,PG1 CLRMTK-OAK D 115 2,False,1,0.0,Clarmnt-Statin D 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
30705_MONTAVIS_230_30730_HICKS   _230_BR_2 _1,230.0,branch,437.69074,16,6,27.36,102.66,PG1 METCLF-MNTVIS 230 3,False,2,0.188,Montavis-Hicks 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33020_MORAGA  _115_32790_STATIN X_115_BR_1 _1,115.0,branch,422.87397,27,12,15.66,49.63,PG1 OAK D-OAK L 115,False,3,0.296,Moraga-Statin X 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
22464_MIGUEL  _230_22468_MIGUEL  _500_XF_81,500.0,transformer,413.8191800000001,16,3,25.86,87.43,SD1 MIGUEL 500-230 BK80,False,3,0.688,Miguel 500 kV Transformer,SDG&E,,False,"Transformer, not a transmission line",parsed,True,solar
34256_BORDEN  _70.0_30805_BORDEN  _230_XF_1,230.0,transformer,395.87415,14,10,28.28,81.1,Base Case,True,2,0.0,Borden 230 kV Transformer,Unknown,,False,"Transformer, not a transmission line",parsed,False,load/other
30529_BRDSLDNG_230_30523_CC SUB  _230_BR_1 _1,230.0,branch,395.4748799999999,24,7,16.48,52.6,PG1 BRDSLD-COCOPP 230,False,3,0.167,Brdsldng-Cc Sub 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
35371_AMES J1B_115_35352_WHISMAN _115_BR_1 _1,115.0,branch,391.04001000000005,12,2,32.59,80.61,PG1 TESLA 500-230 BK6,False,1,0.833,Ames J1B-Whisman 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1,230.0,branch,387.78499,59,31,6.57,29.76,Base Case,True,5,0.746,Kramer-Victor 230 kV,Unknown,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
37650_TESLA TP_115_33574_LLNL    _115_BR_1 _1,115.0,branch,359.55592999999993,11,2,32.69,102.36,PG1 TESLA 230-115 BK3,False,2,0.727,Tesla Tp-Llnl 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
22056_BERNARDO_69.0_22284_FELCTATP_69.0_BR_1 _1,69.0,branch,350.64195000000007,14,2,25.05,51.23,SD1 SXCYN-PQUTOS 230,False,2,1.0,Bernardo-Felctatp 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
32219_DR360370_115_32242_DRUM  1M_ 1.0_XF_1,115.0,transformer,336.92874,18,7,18.72,35.38,Base Case,True,3,0.667,Dr360370 115 kV Transformer,Unknown,,False,"Transformer, not a transmission line",parsed,True,solar
33020_MORAGA  _115_32780_CLARMNT _115_BR_1 _1,115.0,branch,335.38154,7,3,47.91,145.71,PG1 SOBRNT-MORAGA 115,False,2,0.286,Moraga-Clarmnt 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
22306_GARFIELD_69.0_22208_EL CAJON_69.0_BR_1 _1,69.0,branch,330.23854,24,8,13.76,42.08,SD1 MIGUEL-JMACHA_1 69,False,3,0.917,Garfield-El Cajon 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30885_MUSTANGS_230_30900_GATES   _230_BR_1 _1,230.0,branch,315.88869,19,3,16.63,30.63,PG1 TRNQSS-KERNEY 230_M,False,1,0.0,Mustangs-Gates 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
24074_LA FRESA_230_24065_HINSON  _230_BR_1 _1,230.0,branch,315.575,3,1,105.19,106.81,SC1 LAFRES-LAGBEL_1 230,False,1,1.0,La Fresa-Hinson 230 kV,SCE,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33920_RCTRK J._115_33926_CH.STNJT_115_BR_1 _1,115.0,branch,314.56034,44,15,7.15,23.04,Base Case,True,2,0.568,Rctrk J.-Ch.Stnjt 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
35122_NWARK EF_115_35602_ZNKER J2_115_BR_1 _1,115.0,branch,309.56052,3,2,103.19,221.79,PG1 NRTHRN-SCOTT_1 115,False,1,0.0,Nwark Ef-Znker J2 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33558_LCKFRDJB_115_33562_BELLOTA _115_BR_2 _1,115.0,branch,296.80444,13,4,22.83,143.18,Base Case,True,2,0.385,Lckfrdjb-Bellota 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
30805_BORDEN  _230_30810_GREGG   _230_BR_2 _1,230.0,branch,286.78104,15,5,19.12,39.3,Base Case,True,1,0.133,Borden-Gregg 230 kV,Unknown,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34134_WILSONAB_115_34138_EL CAPTN_115_BR_1 _1,115.0,branch,285.41992,8,7,35.68,113.83,Base Case,True,2,0.0,Wilsonab-El Captn 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
